Height,K,SignTimeSeconds,VerifyTimeSeconds
10,8,0.084711,0.100258
10,16,0.06907,0.099905
10,32,0.078166,0.100272
10,64,0.084636,0.084727
10,128,0.084636,0.084692
12,8,0.100279,0.084669
12,16,0.093765,0.084677
12,32,0.084701,0.084613
12,64,0.100275,0.084668
12,128,0.084702,0.100274
14,8,0.115953,0.084675
14,16,0.115872,0.084686
14,32,0.115915,0.084674
14,64,0.115931,0.084651
14,128,0.115915,0.100271
16,8,0.216214,0.084641
16,16,0.21624,0.084702
16,32,0.231845,0.084732
16,64,0.216245,0.084675
16,128,0.216228,0.100309
